file,width,height,dtype,min,max,mean,saturated_255_fraction,sha256
frame_35.png,640,512,uint8,0,255,150.29573669433594,0.0057403564453125,ea1eac8b20e429707f7fa2012ac53f23476749f8b634ef59065139bb745dbe8d
frame_36.png,640,512,uint8,0,255,151.92109069824218,0.0039459228515625,4b094dd862e9eef319d68f32327dac0ee444daac4b5181f355b1167d6d72e003
frame_37.png,640,512,uint8,0,255,153.05915222167968,0.000799560546875,c0bb27058f688725f1a19b22955323b1cc28f0497ed0e4ce4f5308fc022112ed
frame_38.png,640,512,uint8,0,253,161.9690704345703,0.0,bd4e4bf3b273f56e64cbe3c4e1d26c5199c4bc8cfaf2938c41f2ff0ce3b1dfeb
frame_39.png,640,512,uint8,0,255,163.25914001464844,0.0016021728515625,f5972844077bce8688a5a1ec60267a0e99721e0f95002984e26c189983886532
frame_40.png,640,512,uint8,87,255,158.236474609375,0.0016448974609375,8f88e689a6bdb1a096c46731dbf02c24c67807df0955cbc9f1b54eaf6ecd994c
frame_41.png,640,512,uint8,12,255,125.96624450683593,0.0011199951171875,441048a16987e810fe57a646951521a8ff7823385c59595814f35fd44f639b98
frame_42.png,640,512,uint8,0,255,119.14989318847657,0.0012176513671875,0e7beb64122901c338af05010a029bdbba0f62198317129451a227a3eb483711
frame_43.png,640,512,uint8,0,255,118.35444641113281,0.0013092041015625,cb2b4e803df350dd40420ebe40ae409fd1db2acce118be265c446547d1bd4c4a
frame_44.png,640,512,uint8,0,255,113.73083190917968,0.00216064453125,83946812ddf2364445a3ae79f52c5b919c974a2aad8a389555c36751ab47f2a7
frame_45.png,640,512,uint8,0,255,105.53514404296875,0.0089263916015625,c79c94f4920edc2812a52f65afae2a3ebea34d944c13993b7183178d85da17db
frame_46.png,640,512,uint8,0,255,98.05133972167968,0.00718994140625,cbc576498ea387e26b481d08206daf64f5875e5fda2c8cfda4f172ece44598ff
frame_47.png,640,512,uint8,0,255,87.77068176269532,0.0039154052734375,9152663b36842c7b9ee219d569e99320ead0975a2d45b303e043962d74092a12
frame_48.png,640,512,uint8,0,255,86.01526794433593,0.0009002685546875,5b9c554c7a55abccb3ddf335628619e2bb2db8384cf4b1f4ad14eef3e7380151
frame_49.png,640,512,uint8,0,255,117.74378967285156,1.52587890625e-05,b68df2d6da8d7183ce4e3a71e184eb5377fb35006f59136962a5188ca954d14e
frame_50.png,640,512,uint8,0,220,149.02314453125,0.0,ebb3ead726e2106e8312052b8351d977d8cce42b81b2e5930bee3eac2713c5fa
frame_51.png,640,512,uint8,0,241,173.85112915039062,0.0,49c196cc0c8350ed6f09e8bdf0058c1d17851925d555bdcefd2f5e50f639bee7
