sequence,source_index,source_time_s,replay_cycle,capture_s,output_s,processing_ms,frame_age_ms,core_ms,distance_render_ms,depth_age_ms,depth_valid,depth_status,edge_pixels,valid_depth_edge_pixels
15,15,1.5,0,215630.8592512,215630.8842517,24.366799974814057,25.00049999798648,20.40149999083951,2.6086999860126525,0.0,True,ok,5045,5045
16,16,1.6,0,215630.8925261,215630.9160368,22.914899978786707,23.510699975304306,19.250099983764812,2.3086000001057982,0.0,True,ok,5382,5382
17,17,1.7000000000000002,0,215630.9259464,215630.9496312,23.19300000090152,23.68479999131523,19.668000022647902,2.131800021743402,0.0,True,ok,5312,5312
18,18,1.8,0,215630.958688,215630.9835201,24.180200009141117,24.832099996274337,19.631999981356785,2.1265000104904175,0.0,True,ok,5363,5363
19,19,1.9000000000000001,0,215630.9925556,215631.0173852,24.319599993759766,24.829599977238104,20.587900013197213,2.4178000167012215,0.0,True,ok,5455,5455
20,20,2.0,0,215631.0259589,215631.0515306,25.02140001161024,25.571700010914356,20.42990000336431,3.232699993532151,0.0,True,ok,5508,5508
21,21,2.1,0,215631.0589396,215631.0851062,25.52669998840429,26.16659997147508,21.191700012423098,2.1481000003404915,0.0,True,ok,5300,5300
22,22,2.2,0,215631.0925934,215631.1218965,27.965899993432686,29.30309998919256,24.193399993237108,2.3957000230439007,0.0,True,ok,5384,5384
23,23,2.3000000000000003,0,215631.125812,215631.1512957,24.418999993940815,25.48369998112321,20.57530000456609,2.4358999799005687,0.0,True,ok,5355,5355
24,24,2.4000000000000004,0,215631.1592628,215631.1827531,22.852599999168888,23.490299994591624,19.305800000438467,2.2470999974757433,0.0,True,ok,5072,5072
25,25,2.5,0,215631.1922981,215631.2166817,23.718099982943386,24.383599986322224,20.10369999334216,2.293700003065169,0.0,True,ok,4851,4851
26,26,2.6,0,215631.2256771,215631.2493443,23.00040001864545,23.6672000028193,19.50660001602955,2.1414999791886657,0.0,True,ok,4933,4933
27,27,2.7,0,215631.2588355,215631.2868222,27.43759998702444,27.986700006294996,21.639599988702685,3.689800010761246,0.0,True,ok,4889,4889
28,28,2.8000000000000003,0,215631.2921655,215631.3187072,26.06140001444146,26.54170000459999,22.442899993620813,2.2849999950267375,0.0,True,ok,4508,4508
29,29,2.9000000000000004,0,215631.3259347,215631.3499486,23.498900001868606,24.01389999431558,20.01350000500679,2.1471999934874475,0.0,True,ok,4516,4516
30,30,3.0,0,215631.3591716,215631.3883716,28.464200004236773,29.200000019045547,24.76349999778904,2.074000018183142,0.0,True,ok,4326,4326
31,31,3.1,0,215631.3925053,215631.4182793,25.229100021533668,25.77400000882335,21.5885000070557,2.335600001970306,0.0,True,ok,4407,4407
32,32,3.2,0,215631.4257771,215631.4505839,24.177799990866333,24.806800007354468,20.295900001656264,2.4046999751590192,0.0,True,ok,4113,4113
33,33,3.3000000000000003,0,215631.4594166,215631.4842028,24.132899998221546,24.786199996015057,20.799799996893853,2.0299000025261194,0.0,True,ok,4211,4211
34,34,3.4000000000000004,0,215631.4922972,215631.5185539,25.238200003514066,26.256700017256662,21.94400000735186,2.0490000024437904,0.0,True,ok,4198,4198
35,35,3.5,0,215631.525821,215631.5499318,23.672499984968454,24.110800004564226,20.20909998100251,2.230300015071407,0.0,True,ok,4125,4125
36,36,3.6,0,215631.5591382,215631.5902548,30.114399996818975,31.11659997375682,26.250399998389184,2.3520000104326755,0.0,True,ok,4267,4267
