sequence,source_index,source_time_s,replay_cycle,capture_s,output_s,processing_ms,frame_age_ms,core_ms,distance_render_ms,depth_age_ms,depth_valid,depth_status,edge_pixels,valid_depth_edge_pixels
28,28,2.8000000000000003,0,215322.9520148,215322.9584868,5.802500003483146,6.472000008216128,2.29350000154227,2.19870000728406,0.0,True,ok,4508,4508
29,29,2.9000000000000004,0,215322.9852386,215322.9915814,5.676900007529184,6.34280001395382,2.3010000004433095,2.094399998895824,0.0,True,ok,4516,4516
30,30,3.0,0,215323.0183891,215323.0246105,5.660099996021017,6.221399991773069,2.3253999825101346,2.07570000202395,0.0,True,ok,4326,4326
31,31,3.1,0,215323.0519488,215323.0581534,5.614199995761737,6.204599980264902,2.2680999827571213,1.961200003279373,0.0,True,ok,4407,4407
32,32,3.2,0,215323.0856838,215323.0920469,5.730100005166605,6.363100023008883,2.45649999123998,2.071599999908358,0.0,True,ok,4113,4113
33,33,3.3000000000000003,0,215323.1188808,215323.1254566,5.858100019395351,6.575800012797117,2.293700003065169,2.2960999922361225,33.19700001156889,True,ok,4211,4211
34,34,3.4000000000000004,0,215323.1517396,215323.1582077,5.869600019650534,6.468100007623434,2.385100000537932,2.188500016927719,0.0,True,ok,4198,4198
35,35,3.5,0,215323.1852258,215323.1918504,6.0187000199221075,6.624600006034598,2.2487000096589327,2.5536000030115247,0.0,True,ok,4125,4125
36,36,3.6,0,215323.2187794,215323.225182,5.791000003227964,6.402600003639236,2.2597000061068684,2.0514999923761934,0.0,True,ok,4267,4267
37,37,3.7,0,215323.2521589,215323.2580964,5.2724000124726444,5.937500012805685,2.216799999587238,1.8530999950598925,0.0,True,ok,3805,3805
38,38,3.8000000000000003,0,215323.2850423,215323.2911418,5.530700000235811,6.099499994888902,2.206000004662201,2.076200005831197,0.0,True,ok,3921,3921
39,39,3.9000000000000004,0,215323.318751,215323.3255943,6.308099982561544,6.843299983302131,2.316500002052635,2.662000013515353,33.708700007991865,True,ok,3864,3864
40,40,4.0,0,215323.3525624,215323.3585256,5.3217999811749905,5.963200004771352,2.304199995705858,1.8465000030118972,0.0,True,ok,3828,3828
41,41,4.1000000000000005,0,215323.3855257,215323.3917456,5.594699992798269,6.219900009455159,2.226000011432916,2.146399987395853,0.0,True,ok,3659,3659
42,42,4.2,0,215323.4188253,215323.4251685,5.754399986471981,6.343199987895787,2.2470999974757433,2.1575000137090683,0.0,True,ok,3989,3989
43,43,4.3,0,215323.4518241,215323.4581105,5.637199996272102,6.286400021053851,2.3307999945245683,1.982799993129447,32.998799986671656,True,ok,4294,4294
44,44,4.4,0,215323.4854324,215323.492106,6.038099993020296,6.673600000794977,2.311899996129796,2.3403000086545944,0.0,True,ok,4623,4623
45,45,4.5,0,215323.518838,215323.5257977,5.922799988184124,6.959699996514246,2.244800009066239,2.42390000494197,0.0,True,ok,4708,4708
46,46,4.6000000000000005,0,215323.5519699,215323.5590178,6.451599998399615,7.047899998724461,2.8433000261429697,2.2724999871570617,0.0,True,ok,4834,4834
47,47,4.7,0,215323.5853009,215323.5919458,5.825400003232062,6.64489998598583,2.2001999896019697,2.2994999890215695,0.0,True,ok,4677,4677
48,48,4.800000000000001,0,215323.6186767,215323.6256707,6.283200025791302,6.994000024860725,2.4107999925035983,2.480800001649186,0.0,True,ok,4591,4591
49,49,4.9,0,215323.6521692,215323.6585542,5.8794000069610775,6.384999986039475,2.4098000139929354,2.068999980110675,0.0,True,ok,4442,4442
