frame,model_ms,core_ms
0,20.614099979866296,21.73080001375638
1,17.653999995673075,18.917399982456118
2,18.429000017931685,19.48020001873374
3,18.174299999373034,19.264700007624924
4,17.708700004732236,18.851199973141775
5,18.6563000024762,19.77339998120442
6,19.341400009579957,20.691099984105676
7,18.075200001476333,19.16310001979582
8,18.37459998205304,19.466099998680875
9,17.93199998792261,19.052799994824454
10,19.212900020647794,20.36779999616556
11,19.192100007785484,20.23269998608157
12,18.11539998743683,19.371300004422665
13,17.74390001082793,18.82970001315698
14,17.993600020417944,19.18539998587221
15,18.11100001214072,19.58829999784939
16,18.1997999898158,19.359300000360236
17,17.84759998554364,18.91850001993589
18,19.307100010337308,20.56010000524111
19,18.17909997771494,19.238000008044764
20,18.642199982423335,19.940500002121553
21,20.267099986085668,21.31719997851178
22,18.09189998311922,19.56899999640882
23,17.68170000286773,18.95850000437349
24,17.7776999771595,18.86219999869354
25,17.728500009980053,18.91139999497682
26,18.675300001632422,19.918999983929098
27,18.055499996989965,19.46809998480603
28,17.92589999968186,19.02090001385659
29,17.85319999908097,19.10540001699701
30,17.659700009971857,18.73199999681674
31,17.655500007094815,18.904900003690273
32,21.31579999695532,22.354999993694946
33,18.790300004184246,19.8728000104893
34,19.681200006743893,21.01510000647977
35,17.468499980168417,18.557799980044365
36,18.40289999381639,19.517600012477487
37,18.5258999990765,19.72770001157187
38,18.57479999307543,19.744300021557137
39,18.731199990725145,19.815299980109558
40,17.918899975484237,19.187700003385544
41,17.7034999942407,18.818500015186146
42,20.958099979907274,22.057299996959046
43,18.07409999310039,19.21929998206906
44,18.914799991762266,20.039499999256805
45,18.175799981690943,19.515199994202703
46,17.963999998755753,19.055399985518306
47,19.00619998923503,20.133899990469217
48,17.55550000234507,18.835100025171414
49,18.04890000494197,19.13179998518899
50,17.90210002218373,19.021199987037107
51,18.050999991828576,19.31549998698756
52,17.885599983856082,19.089800014626235
53,20.051600004080683,21.174800000153482
54,18.46069999737665,19.707600004039705
55,17.638199991779402,18.933799990918487
56,17.65349999186583,18.728099996224046
57,17.62250001775101,18.80439999513328
58,17.609600006835535,18.753599986666813
59,18.430099997203797,19.715000002179295
60,18.242399994051084,19.32180000585504
61,17.94359998893924,18.988900003023446
62,17.930699978023767,19.12290000473149
63,19.04330000979826,20.226499997079372
64,19.11239998298697,20.156400016276166
65,17.892900010338053,19.376100011868402
66,17.647800006670877,18.704499991144985
67,17.86639998317696,18.999799998709932
68,18.43389999703504,19.77479999186471
69,17.432199994800612,18.514499999582767
70,17.93349999934435,19.079499994404614
71,17.824400012614205,18.957899999804795
72,18.384199996944517,19.54799998202361
73,18.298400013009086,19.593899982282892
74,18.804999999701977,19.887799979187548
75,19.197499990696087,20.273200003430247
76,17.959199991310015,19.283500005258247
77,17.938100005267188,19.458900002064183
78,18.060400005197152,19.252800004323944
79,17.391599976690486,18.58550001634285
80,17.769500002032146,18.965199997182935
81,21.661800012225285,22.927399986656383
82,48.662699991837144,50.16099999193102
83,27.68239998840727,29.279000009410083
84,31.512899993686005,32.65899998950772
85,27.939099993091077,29.440100013744086
86,38.02839998388663,40.12630000943318
87,27.47170001384802,28.812200005631894
88,35.8012999931816,37.90070000104606
89,31.43830000772141,33.34759999415837
90,32.40559998084791,35.04439999233
91,29.29580002091825,30.373700021300465
92,44.88669999409467,46.24379999586381
93,31.502300000283867,34.02459999779239
94,44.08380002132617,46.29410000052303
95,30.165000003762543,32.28690000833012
96,19.31259999400936,20.61360000516288
97,39.21950000221841,40.65790001186542
98,29.122100007953122,30.332399997860193
99,30.075899994699284,31.449400004930794
100,29.495099995983765,30.800200009252876
101,21.740299998782575,23.042999993776903
102,23.106499982532114,24.288399989018217
103,30.016500008059666,31.09909998602234
104,17.84459999180399,19.23549998900853
105,36.30219999467954,37.596599984681234
106,31.394199992064387,32.58340002503246
107,24.190999974962324,25.4393000213895
108,35.56320001371205,36.90700000151992
109,29.495499999029562,31.450699985725805
110,24.854399991454557,26.07029999489896
111,32.47500001452863,35.099799977615476
112,31.883399991784245,33.42299998621456
113,39.53949999413453,40.86519998963922
114,29.111599986208603,30.39820000412874
115,42.832499981159344,45.33680001622997
116,35.45880000456236,36.809900018852204
117,24.091800005408004,26.582099992083386
118,35.90220000478439,38.45960000762716
119,40.97780000302009,42.78730001533404
