clip,frame,time_s,mode,post_ms,core_ms,processing_ms,alpha_area_px,status
thermal_assumed,7,0.7,banded,2.3098000092431903,19.16310001979582,21.47290002903901,3843.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,7,0.7,continuous,2.7036000101361424,19.16310001979582,21.866700029931962,4152.50341796875,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,7,0.7,smooth,3.045099991140887,19.16310001979582,22.208200010936707,4126.8310546875,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,8,0.8,legacy_3,0.8360999927390367,19.466099998680875,20.30219999141991,9055.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,8,0.8,thin_3,1.9705000158865005,19.466099998680875,21.436600014567375,6129.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,8,0.8,banded,2.087699976982549,19.466099998680875,21.553799975663424,4161.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,8,0.8,continuous,2.627200010465458,19.466099998680875,22.093300009146333,4420.41455078125,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,8,0.8,smooth,2.722800010815263,19.466099998680875,22.188900009496137,4391.333984375,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,9,0.9,legacy_3,0.5529999907594174,19.052799994824454,19.60579998558387,8819.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,9,0.9,thin_3,2.0690999808721244,19.052799994824454,21.12189997569658,5946.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,9,0.9,banded,2.1861999994143844,19.052799994824454,21.23899999423884,4242.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,9,0.9,continuous,2.5606999988667667,19.052799994824454,21.61349999369122,4392.72802734375,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,9,0.9,smooth,2.6357000169809908,19.052799994824454,21.688500011805445,4363.8671875,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,10,1.0,legacy_3,1.0794000118039548,20.36779999616556,21.447200007969514,8980.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,10,1.0,thin_3,4.285299975890666,20.36779999616556,24.653099972056225,6149.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,10,1.0,banded,4.4609000033233315,20.36779999616556,24.82869999948889,4523.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,10,1.0,continuous,4.228699981467798,20.36779999616556,24.596499977633357,4700.5888671875,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,10,1.0,smooth,5.473000026540831,20.36779999616556,25.84080002270639,4669.6708984375,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,11,1.1,legacy_3,0.4582999972626567,20.23269998608157,20.690999983344227,9376.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,11,1.1,thin_3,2.137599978595972,20.23269998608157,22.370299964677542,6397.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,11,1.1,banded,2.1357999939937145,20.23269998608157,22.368499980075285,4943.0,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,11,1.1,continuous,2.741300006164238,20.23269998608157,22.97399999224581,5082.14111328125,ASSUMED DEPTH - NOT SENSOR DATA
thermal_assumed,11,1.1,smooth,3.276699979323894,20.23269998608157,23.509399965405464,5049.19921875,ASSUMED DEPTH - NOT SENSOR DATA
